arena_api  | {"time":"2026-06-25T17:25:59.822684734Z","level":"INFO","msg":"http.request.completed","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd1-2f8e-78f1-9496-ede6c5da3ff1","trace_id":"e5bd5449a19215fc27536b70e9a11a8e","method":"GET","route":"/healthz","status":200,"latency_ms":0.036,"bytes_in":0,"bytes_out":16,"user_agent":"Go-http-client/1.1"}
arena_api  | {"time":"2026-06-25T17:26:29.876512833Z","level":"INFO","msg":"http request start","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd1-a4f4-7725-a0d5-1232ff21c7c1","trace_id":"6bb286b7b1ac222f1328482063fc81ae","method":"GET","path":"/healthz","remote_addr":"[::1]:52610"}
arena_api  | {"time":"2026-06-25T17:26:29.876660706Z","level":"INFO","msg":"http.request.completed","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd1-a4f4-7725-a0d5-1232ff21c7c1","trace_id":"6bb286b7b1ac222f1328482063fc81ae","method":"GET","route":"/healthz","status":200,"latency_ms":0.149,"bytes_in":0,"bytes_out":16,"user_agent":"Go-http-client/1.1"}
arena_api  | {"time":"2026-06-25T17:26:59.939935148Z","level":"INFO","msg":"http request start","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd2-1a63-7d77-9673-61db0e60a21b","trace_id":"8d4a501ed6adfea98d8d72ddab944cf5","method":"GET","path":"/healthz","remote_addr":"[::1]:39066"}
arena_api  | {"time":"2026-06-25T17:26:59.939966647Z","level":"INFO","msg":"http.request.completed","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd2-1a63-7d77-9673-61db0e60a21b","trace_id":"8d4a501ed6adfea98d8d72ddab944cf5","method":"GET","route":"/healthz","status":200,"latency_ms":0.034,"bytes_in":0,"bytes_out":16,"user_agent":"Go-http-client/1.1"}
arena_api  | {"time":"2026-06-25T17:27:29.995446105Z","level":"INFO","msg":"http request start","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd2-8fcb-7625-a09e-0a7d72e30e97","trace_id":"45ef2c091133f911805fc39a8b95fa3a","method":"GET","path":"/healthz","remote_addr":"[::1]:47856"}
arena_api  | {"time":"2026-06-25T17:27:29.995479195Z","level":"INFO","msg":"http.request.completed","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd2-8fcb-7625-a09e-0a7d72e30e97","trace_id":"45ef2c091133f911805fc39a8b95fa3a","method":"GET","route":"/healthz","status":200,"latency_ms":0.035,"bytes_in":0,"bytes_out":16,"user_agent":"Go-http-client/1.1"}
arena_api  | {"time":"2026-06-25T17:28:00.051028986Z","level":"INFO","msg":"http request start","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd3-0532-7ee8-bfa5-311892982439","trace_id":"be2b2687fb80f48ff2d55920ee7c0c6d","method":"GET","path":"/healthz","remote_addr":"[::1]:42088"}
arena_api  | {"time":"2026-06-25T17:28:00.05106638Z","level":"INFO","msg":"http.request.completed","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd3-0532-7ee8-bfa5-311892982439","trace_id":"be2b2687fb80f48ff2d55920ee7c0c6d","method":"GET","route":"/healthz","status":200,"latency_ms":0.04,"bytes_in":0,"bytes_out":16,"user_agent":"Go-http-client/1.1"}
arena_api  | {"time":"2026-06-25T17:28:30.112600667Z","level":"INFO","msg":"http request start","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd3-7aa0-77cf-a28d-29279c9598e7","trace_id":"f7c947536d270d2b90da281c29f34283","method":"GET","path":"/healthz","remote_addr":"[::1]:42022"}
